Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,LoanAmount_log,ApplicantIncome_log,CoapplicantIncome_log,Loan_Amount_Term_log,Loan_to_Income_Ratio,Total_Income,amountspent_Per_Person,Household_Load
0,1,2,0,0,1,2.0,0.6042117777438054,-1.9307876429047,0.615736573115351,0.15171393716881562,-0.4594587933688316,-0.5706325612026472,-0.19021085373421573,4
1,0,0,0,0,1,2.0,0.3189977690250431,0.7393315992746856,-1.012524724918452,0.15171393716881562,-1.1676639676541656,-0.48149650730229687,-0.48149650730229687,1
1,1,1,0,1,1,1.0,-0.7134288327066142,-0.6782163760881448,-1.012524724918452,0.15171393716881562,0.42196219887354036,-0.9654363194486226,-0.4827181597243113,3
1,0,0,0,1,1,1.0,-0.995852028906234,1.0478669705629213,-1.012524724918452,0.15171393716881562,-28.17738405544899,-0.2790084884083028,-0.2790084884083028,1
1,1,0,0,0,1,0.0,0.7003787776468102,0.651849759005651,0.7466326084496658,0.15171393716881562,0.5008134488826068,0.20506069359145557,0.20506069359145557,2
1,1,0,0,0,1,0.0,0.18258800826092825,0.7333588302764916,-1.012524724918452,0.15171393716881562,-0.6540484055013366,-0.48477301246239385,-0.48477301246239385,2
1,1,2,0,0,1,1.0,-0.6644033191722009,-0.8107986436154286,0.15345062312215152,0.15171393716881562,1.0107329731876722,-0.5969423341872356,-0.19898077806241188,4
1,0,0,0,0,1,1.0,-0.11203652885309516,0.060792089932889086,-1.012524724918452,0.15171393716881562,0.11771849018794515,-0.7626206500386188,-0.7626206500386188,1
1,1,1,0,0,1,1.0,0.21617579725061684,-0.5033914267617066,0.5598049224330572,0.15171393716881562,3.831987269677399,-0.3144004157467492,-0.1572002078733746,3
1,1,1,0,0,1,1.0,0.6769808993819153,-0.34849840416103073,0.902359288328736,0.15171393716881562,1.222294115243802,-0.02767176957970857,-0.013835884789854286,3
1,0,0,1,0,1,1.0,-0.3631905416919125,-0.14432908500290106,0.49546948852002826,0.15171393716881562,-1.0343171507866584,-0.25521549382906844,-0.25521549382906844,1
1,0,1,1,1,1,1.0,0.8638730205723023,-0.7669108917253059,0.41762967221551084,0.15171393716881562,-2.4732879190719737,-0.45869407426247005,-0.22934703713123503,2
1,1,2,1,1,1,0.0,0.8327391485118387,0.8861009914730495,0.01946346837878647,0.15171393716881562,0.919580201555268,-0.052000701697121204,-0.017333567232373736,4
1,1,0,0,0,1,2.0,-0.2554029834242526,-0.8900367569917295,1.2353464661140747,-0.23891186772020764,-0.739634527142015,0.18328114184699773,0.18328114184699773,2
1,1,2,1,0,1,0.0,0.3189977690250431,-0.22834817686087763,0.4479117480343718,0.15171393716881562,1.4528720193432194,-0.30597482994656705,-0.10199160998218902,4
1,1,0,0,0,1,1.0,0.11325051704443066,-0.038842597228775366,0.8340677058922195,0.15171393716881562,0.1424131554834502,0.004867543676698977,0.004867543676698977,2
1,0,0,0,0,1,1.0,-1.8439249546783811,-0.9651734028532944,-1.012524724918452,0.15171393716881562,0.9323591547087694,-1.0301472963605383,-1.0301472963605383,1
0,0,0,0,0,1,1.0,-0.2554029834242526,0.2582815069348911,-1.012524724918452,0.15171393716881562,0.33862151801253493,-0.6947969932246111,-0.6947969932246111,1
1,1,2,1,0,1,1.0,-0.07269086497487783,-0.05166611033663284,-1.012524724918452,0.15171393716881562,0.0683062309566441,-0.7980069057676663,-0.2660023019225554,4
1,1,1,1,0,1,2.0,0.8221975724346846,0.5723065586986728,0.12543961032586592,0.15171393716881562,1.1783620017350023,-0.17921350416640652,-0.08960675208320326,3
0,1,0,0,1,0,0.0,-0.47545969852723163,0.6294643589210456,-1.012524724918452,0.15171393716881562,1.241213502444288,-0.5386715223459894,-0.5386715223459894,2
0,0,0,0,0,1,2.0,-2.6951697187805443,-0.45050110730576143,-1.012524724918452,0.15171393716881562,1.8421887429582318,-0.909408081210964,-0.909408081210964,1
1,1,0,1,0,0,2.0,0.3189977690250431,-0.5995415286417611,1.1281145526719096,0.15171393716881562,0.603507471101757,0.12595672273865277,0.12595672273865277,2
1,1,0,1,0,1,1.0,-0.09227386674579666,-0.34482241365440414,1.4557228637639874,0.15171393716881562,-0.0830622282461893,0.6289503288495538,0.6289503288495538,2
0,0,0,0,0,1,0.0,-2.137575171238866,-1.0591718397701073,-1.012524724918452,0.15171393716881562,1.0317993511565293,-1.0501339778371297,-1.0501339778371297,1
0,0,0,0,0,1,2.0,-1.875841163850703,-1.5306869855637117,0.49427506093463547,0.15171393716881562,1.8099378435095217,-0.5732290448201233,-0.5732290448201233,1
1,0,0,1,0,1,0.0,-0.3852859602198567,-0.059722910559058914,0.49427506093463547,0.15171393716881562,-0.8866276691689597,-0.23067043033198278,-0.23067043033198278,1
1,1,1,1,0,1,1.0,-0.8391221635187287,-0.8900367569917295,0.902359288328736,0.15171393716881562,-68.09657371279786,-0.15873197598358824,-0.07936598799179412,3
1,1,3,1,0,1,1.0,-0.7382098871113856,-1.3072781114263547,-0.1971100632780917,4.496148240868803,0.4907043936691506,-0.8425504412003568,-0.2106376103000892,5
1,1,0,0,0,0,0.0,-0.1724021564432366,-0.2306794993121247,0.7536721844763863,0.15171393716881562,-0.3296454450201125,-0.11270869316864418,-0.11270869316864418,2
1,1,2,1,0,0,0.0,-0.3195375239398279,-0.37005246658014274,0.6347973945422534,0.15171393716881562,-1.2069637231560448,-0.23279930130510995,-0.07759976710170331,4
